Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Add multiple products to cart,Firefox 109.0,,,2024-03-05 23:14:42,2024-03-05 23:15:28,46.244s,PASSED
,,,,,,,
"Test Cases/TC4 - As a user, I am able to click Continue Shopping button",Firefox 109.0,,,2024-03-05 23:14:43,2024-03-05 23:15:24,41.414s,PASSED
"callTestCase(findTestCase(""TC1 - As a user, I am able to log in using the correct username and password""), [:], STOP_ON_FAILURE)",Firefox 109.0,,,2024-03-05 23:14:44,2024-03-05 23:15:12,27.357s,PASSED
"callTestCase(findTestCase(""TC2 - As a user, I am able to click Add to cart button""), [:], STOP_ON_FAILURE)",Firefox 109.0,,,2024-03-05 23:15:12,2024-03-05 23:15:17,5.580s,PASSED
"callTestCase(findTestCase(""TC3 - As a user, I am able to click the cart icon""), [:], STOP_ON_FAILURE)",Firefox 109.0,,,2024-03-05 23:15:17,2024-03-05 23:15:22,5.023s,PASSED
"click(findTestObject(""Page_Swag Labs/btn_ContinueShopping""))",Firefox 109.0,,,2024-03-05 23:15:22,2024-03-05 23:15:23,0.895s,PASSED
"verifyMatch(getUrl(), inventoryUrl, false)",Firefox 109.0,,,2024-03-05 23:15:23,2024-03-05 23:15:23,0.045s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Swag Labs/title_Products""))",Firefox 109.0,,,2024-03-05 23:15:23,2024-03-05 23:15:24,0.584s,PASSED
,,,,,,,
"Test Cases/TC5 - As a user, I am able to click on another Add to cart button",Firefox 109.0,,,2024-03-05 23:15:24,2024-03-05 23:15:28,4.015s,PASSED
"click(findTestObject(""Page_Swag Labs/btn_AddToCart_SauceLabsBikeLight""))",Firefox 109.0,,,2024-03-05 23:15:25,2024-03-05 23:15:26,0.766s,PASSED
"verifyElementNotPresent(findTestObject(""Page_Swag Labs/btn_AddToCart_SauceLabsBikeLight""), 0)",Firefox 109.0,,,2024-03-05 23:15:26,2024-03-05 23:15:26,0.469s,PASSED
"verifyElementVisible(findTestObject(""Page_Swag Labs/btn_Remove_SauceLabsBikeLight""))",Firefox 109.0,,,2024-03-05 23:15:26,2024-03-05 23:15:27,0.539s,PASSED
"verifyElementClickable(findTestObject(""Page_Swag Labs/btn_Remove_SauceLabsBikeLight""))",Firefox 109.0,,,2024-03-05 23:15:27,2024-03-05 23:15:28,0.540s,PASSED
"verifyElementText(findTestObject(""Page_Swag Labs/btn_Cart""), ""2"")",Firefox 109.0,,,2024-03-05 23:15:28,2024-03-05 23:15:28,0.473s,PASSED
